student_id,date,name,country,sql,excel,maths,python,poo,tableau,data_exploration,data_manipulation,data_viz,data_transformation,data_modelisation,data_deployement,pack_office,result_presentation,moyenne,admis,mention
GMC0000001,2020-06-22,Nguiamba Doumbe,Cameroun,61.79,48,62,20,30,88,61.79,20.32,62,20,30,48,47,48,43.1042,Non,refusée
GMC0000002,2020-06-23,El Hani Mohamed,Tunisie,20.23,84,20,90,2,8,20.23,90.43,20,90,2,84,84,84,50.4706,Oui,passable
GMC0000003,2020-06-24,Mbodji Mamadou,Sénégal,85.82,39,86,49,30,24,85.82,48.93,86,49,30,39,11,39,53.3082,Oui,passable
GMC0000004,2020-06-25,Koné Mohamed,Côte d'ivoire,42.18,54,42,59,100,26,42.18,59.2,42,59,100,54,66,54,58.37520000000001,Oui,passable
GMC0000005,2020-06-26,Ahouansou Kossi,Bénin,31.99,77,32,95,50,83,31.99,95.23,32,95,50,77,55,77,64.11399999999999,Oui,assez bien
GMC0000006,2020-06-25,Chelli Mohamed,Tunisie,72.18,25,72,76,53,86,72.18,75.5,72,76,53,25,35,25,60.510200000000005,Oui,assez bien
GMC0000007,2020-06-24,N'Dri Yao,Côte d'ivoire,71.49,16,71,90,24,42,71.49,89.74,71,90,24,16,75,16,56.7838,Oui,passable
GMC0000008,2020-06-26,Dosso Gbènè,Bénin,34.09,50,34,81,100,41,34.09,80.95,34,81,100,50,85,50,62.278600000000004,Oui,assez bien
GMC0000009,2020-06-23,Diallo Astou,Sénégal,50.39,24,50,26,58,45,50.39,25.59,50,26,58,24,78,24,39.7658,Non,refusée
GMC0000010,2020-06-25,Mengue Douala,Cameroun,1.0,27,1,28,64,83,1.0,27.81,1,28,64,27,39,27,27.891800000000003,Non,refusée
GMC0000011,2020-06-26,Sèdjo Akouvi,Bénin,78.75,31,79,36,8,23,78.75,35.57,79,36,8,31,87,31,43.8816,Non,refusée
GMC0000012,2020-06-26,Goudiaby Ndèye,Sénégal,74.8,44,75,70,64,48,74.8,70.07,75,70,64,44,74,44,64.5616,Oui,assez bien
GMC0000013,2020-06-26,Zarrouk Mohamed,Tunisie,73.83,31,74,69,26,92,73.83,69.01,74,69,26,31,53,31,56.628,Oui,passable
GMC0000014,2020-06-23,Diakité Mohamed,Côte d'ivoire,1.0,27,1,10,73,49,1.0,10.36,1,10,73,27,46,27,23.1158,Non,refusée
GMC0000015,2020-06-23,Tunis Fethi,Tunisie,41.65,59,42,8,75,23,41.65,7.71,42,8,75,59,84,59,41.226800000000004,Non,refusée
GMC0000016,2020-06-23,Faye Fatou,Sénégal,50.05,93,50,76,24,81,50.05,76.37,50,76,24,93,46,93,63.0096,Oui,assez bien
GMC0000017,2020-06-24,Sossou Komi,Bénin,60.14,70,60,37,26,55,60.14,37.45,60,37,26,70,27,70,49.3856,Non,refusée
GMC0000018,2020-06-22,Ben Ammar Slimane,Tunisie,57.23,81,57,43,71,16,57.23,42.63,57,43,71,81,31,81,58.043600000000005,Oui,passable
GMC0000019,2020-06-25,Kandjou Tchakounté,Cameroun,83.03,74,83,37,73,46,83.03,37.47,83,37,73,74,5,74,63.7958,Oui,assez bien
GMC0000020,2020-06-22,Diedhiou Anta,Sénégal,11.33,48,11,34,18,41,11.33,34.2,11,34,18,48,45,48,27.9502,Non,refusée
GMC0000021,2020-06-26,Slim Rached,Tunisie,44.93,51,45,53,38,96,44.93,52.65,45,53,38,51,71,51,49.8932,Non,refusée
GMC0000022,2020-06-23,Ondoa Ngandjui,Cameroun,33.6,77,34,65,59,74,33.6,64.52,34,65,59,77,40,77,56.982600000000005,Oui,passable
GMC0000023,2020-06-24,Kante Fatoumata,Sénégal,54.84,38,55,49,45,28,54.84,49.31,55,49,45,38,78,38,47.7404,Non,refusée
GMC0000024,2020-06-26,Biyick Ngog,Cameroun,63.84,35,64,1,49,93,63.84,1.0,64,1,49,35,37,35,38.7926,Non,refusée
GMC0000025,2020-06-24,Gaye Ndèye,Sénégal,82.95,39,83,22,58,84,82.95,21.85,83,22,58,39,30,39,52.12,Oui,passable
GMC0000026,2020-06-22,Camara Mamadou,Côte d'ivoire,38.27,68,38,43,56,36,38.27,43.27,38,43,56,68,96,68,49.4874,Non,refusée
GMC0000027,2020-06-26,El Abed Mohamed,Tunisie,66.89,12,67,35,39,59,66.89,35.43,67,35,39,12,25,12,41.431000000000004,Non,refusée
GMC0000028,2020-06-24,Ghaddab Mohamed,Tunisie,4.57,1,5,58,64,44,4.57,57.82,5,58,64,1,46,1,30.786400000000004,Non,refusée
GMC0000029,2020-06-24,Ouegnin Yayra,Bénin,45.42,76,45,60,96,100,45.42,59.87,45,60,96,76,32,76,65.62440000000001,Oui,assez bien
GMC0000030,2020-06-25,Ondoa Ngandjui,Cameroun,76.47,81,76,58,29,22,76.47,57.89,76,58,29,81,1,81,60.918,Oui,assez bien
GMC0000031,2020-06-22,Tunisie Taïeb,Tunisie,40.05,4,40,27,44,58,40.05,27.02,40,27,44,4,34,4,30.4126,Non,refusée
